User_ID,Habit_Type,Tracking_Method,Success_Rate_Percent,Days_Streak,Dropped_Early
0,Изучение языков,None,11.2,12,True
1,Питьевой режим,Simple App,37.6,7,True
2,Медитация,Gamified App,84.1,32,True
3,Чтение,Simple App,72.4,2,True
4,Спорт/Фитнес,Gamified App,72.3,37,True
5,Спорт/Фитнес,Simple App,49.8,2,True
6,Спорт/Фитнес,Simple App,13.6,9,True
7,Программирование,Gamified App,83.8,48,True
8,Чтение,None,20.9,5,True
9,Медитация,Paper,16.6,19,True
10,Спорт/Фитнес,None,14.7,20,True
11,Питьевой режим,Gamified App,82.9,26,True
12,Программирование,Gamified App,77.9,24,True
13,Спорт/Фитнес,None,24.7,5,True
14,Спорт/Фитнес,Simple App,49.5,10,True
15,Спорт/Фитнес,Gamified App,67.7,32,True
16,Изучение языков,None,22.0,4,True
17,Чтение,Simple App,67.2,3,True
18,Изучение языков,Gamified App,79.3,55,True
19,Спорт/Фитнес,None,21.8,4,True
20,Чтение,Simple App,44.5,2,True
21,Спорт/Фитнес,None,9.3,1,True
22,Спорт/Фитнес,Gamified App,45.8,38,True
23,Изучение языков,Gamified App,95.1,71,False
24,Изучение языков,Gamified App,64.7,34,True
25,Программирование,Paper,41.1,11,True
26,Спорт/Фитнес,Gamified App,73.2,65,False
27,Чтение,Gamified App,68.5,33,True
28,Чтение,Paper,32.8,20,True
29,Спорт/Фитнес,Gamified App,65.5,23,True
30,Чтение,None,20.9,11,True
31,Спорт/Фитнес,Simple App,45.6,89,False
32,Спорт/Фитнес,None,4.4,8,True
33,Питьевой режим,None,28.8,4,True
34,Питьевой режим,None,19.2,4,True
35,Программирование,Simple App,54.5,37,True
36,Изучение языков,Paper,28.7,7,True
37,Спорт/Фитнес,Simple App,51.7,8,True
38,Медитация,None,5.6,8,True
39,Изучение языков,Paper,68.1,23,True
40,Спорт/Фитнес,Simple App,66.2,11,True
41,Изучение языков,Simple App,51.0,4,True
42,Спорт/Фитнес,Paper,52.8,17,True
43,Питьевой режим,Simple App,40.3,41,True
44,Спорт/Фитнес,Gamified App,85.3,41,True
45,Медитация,Simple App,57.3,87,False
46,Изучение языков,None,16.7,2,True
47,Чтение,None,16.0,12,True
48,Чтение,Gamified App,65.4,51,True
49,Спорт/Фитнес,None,40.6,1,True
50,Питьевой режим,Gamified App,64.3,47,True
51,Программирование,Simple App,53.6,15,True
52,Питьевой режим,Gamified App,74.2,51,True
53,Программирование,Simple App,34.1,45,True
54,Чтение,Gamified App,79.3,27,True
55,Питьевой режим,Paper,36.2,1,True
56,Спорт/Фитнес,Simple App,67.8,27,True
57,Спорт/Фитнес,Paper,78.8,31,True
58,Спорт/Фитнес,Paper,42.9,3,True
59,Изучение языков,Simple App,44.7,42,True
60,Изучение языков,Gamified App,76.7,64,False
61,Спорт/Фитнес,Gamified App,64.9,62,False
62,Программирование,Simple App,69.8,13,True
63,Изучение языков,Paper,38.2,7,True
64,Спорт/Фитнес,Paper,59.5,6,True
65,Чтение,Simple App,49.7,5,True
66,Спорт/Фитнес,None,28.4,1,True
67,Программирование,None,25.5,2,True
68,Спорт/Фитнес,Paper,34.1,9,True
69,Питьевой режим,None,10.8,7,True
70,Программирование,None,32.2,3,True
71,Спорт/Фитнес,None,35.2,10,True
72,Спорт/Фитнес,None,24.0,6,True
73,Программирование,None,19.8,1,True
74,Медитация,Gamified App,63.2,62,False
75,Медитация,Paper,33.0,3,True
76,Программирование,Paper,43.0,28,True
77,Спорт/Фитнес,Simple App,58.8,7,True
78,Изучение языков,None,15.3,6,True
79,Спорт/Фитнес,Gamified App,76.3,74,False
80,Программирование,Simple App,35.0,1,True
81,Чтение,None,13.2,2,True
82,Изучение языков,Paper,47.7,29,True
83,Спорт/Фитнес,Gamified App,76.8,55,True
84,Изучение языков,Gamified App,81.7,26,True
85,Изучение языков,Paper,52.5,34,True
86,Медитация,Simple App,60.1,3,True
87,Чтение,None,39.0,3,True
88,Программирование,Gamified App,86.1,43,True
